,movies,rating,year,country,genr,director,actor
0,肖申克的救赎,9.6,1994,美国,犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...
1,霸王别姬,9.6,1993,中国大陆 香港,剧情 爱情 同性, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
2,这个杀手不太冷,9.4,1994,法国,剧情 动作 犯罪, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
3,阿甘正传,9.4,1994,美国,剧情 爱情, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...
4,美丽人生,9.5,1997,意大利,剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...
5,泰坦尼克号,9.3,1997,美国,剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...
6,千与千寻,9.3,2001,日本,剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy...
7,辛德勒的名单,9.5,1993,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...
8,盗梦空间,9.3,2010,美国 英国,剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...
9,忠犬八公的故事,9.3,2009,美国 英国,剧情, 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger...
10,机器人总动员,9.3,2008,美国,爱情 科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...
11,三傻大闹宝莱坞,9.2,2009,印度,剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...
12,海上钢琴师,9.2,1998,意大利,剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...
13,放牛班的春天,9.3,2004,法国 瑞士 德国,剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier, 热拉尔·朱尼奥 Gé...
14,楚门的世界,9.2,1998,美国,剧情 科幻, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
15,大话西游之大圣娶亲,9.2,1995,香港 中国大陆,喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
16,星际穿越,9.2,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险, 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...
17,龙猫,9.2,1988,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch...
