代码,名称,涨幅%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,短期形态,中期形态,长期形态,市盈(TTM),最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,开盘换手Z,封成比,封单额,流通股(亿),流通市值,AB股总市值,强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,市盈(静),贝塔系数,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
600313,农发种业,10.14,3.91,0.36,3.91,--  ,2191583,4530,0,21.5,3.54,,,,211.28,3.91,3.52,3.55,232.7,839239360,1.93,种植业,北京,10.99,3.83,1081328,1110255,0.97,16382,0,--  ,6583300,0.3,0.01,6405362,10.19,         39.86亿,         42.31亿,11.04,4409,497,0.0049,1,14.32,27.37,43.74,38.66,35.84,         23.91亿,211.28,1.15,-0.28,10.14,-0.85,7.87,10.45,0,11.08,2.27,20200325,20010119,10.82,--  ,--  ,30.88,14.4,6.75,31.5,18.41,6.44,2.99,8.11,4.1,2.26,4.2,51.36,48.5,0.53,0.14,0.54,0.45,0.18,-0.15,-0.77,0.4,-1.7,76232,8021,3.14万,-42.64,49.02,2.94,105.17,0.82,0,0.017㈣,1.33,0,0.39,-0.07,0.04,46.63,   1.26㈣,5.57,1.02,0.35,0.34,1098,600313,--  ,--  ,--  
600361,华联综超,10.1,4.36,0.4,4.36,--  ,472217,2822,0,7.09,3.86,,,,33.79,4.36,3.86,3.96,34.9,201765664,1.33,超市连锁,北京,12.63,4.27,322544,149673,2.15,51950,0,--  ,2463100,0.21,0.11,22650200,6.66,         29.03亿,         29.03亿,11,1782,265,0.004,2,8.47,21.11,15.34,15.34,15.75,         13.07亿,31.61,1.33,-2.53,10.1,-2.53,7.9,12.95,0,12.95,2.2,20191025,20011129,6.66,--  ,--  ,99.09,27.31,0.03,72.4,63.56,6.31,1.58,70.88,11.37,0.79,16.86,92.88,72.5,0.65,0.66,0.7,0.62,0.62,0.54,2.33,6.54,-1.3,29445,10180,4.44万,-7.92,0.46,1.06,4.44,0.31,1.77,0.094㈢,4.1,0,2.53,0.35,0.98,27.57,   2.28㈢,21.94,0.7,0.67,--  ,17210,600361,--  ,--  ,--  
000678,襄阳轴承,10.08,6.99,0.64,6.99,--  ,157575,2633,0,3.43,6.25,,,,--  ,6.99,6.25,6.35,--  ,106184568,1.94,机械基件,湖北,11.65,6.74,68004,89571,0.76,512,0,--  ,143800,0.01,0,357888,4.6,         32.13亿,         32.13亿,12.11,2117,74,0.0016,5,11.66,20.51,-1.55,0.72,6.35,         17.34亿,--  ,0.69,-1.57,10.08,-1.57,6.12,11.84,0,11.84,3.96,20191031,19970106,4.6,--  ,--  ,26.03,11.55,0.67,53.05,9.85,11.47,3.2,11.01,5.32,2.3,7.7,9.56,8.55,-0.22,0,-0.21,-0.23,-0.24,-0.31,-1.42,-0.55,-1.01,25898,9578,6.70万,-27.17,-18.44,2.78,-58.63,3.36,0,-0.052㈢,2.51,0,1.68,-0.31,-0.12,44.39,  -2.08㈢,10.6,-2.27,-2.52,0.25,4464,678,--  ,--  ,--  
002571,德力股份,10.07,5.9,0.54,5.9,--  ,495739,1297,0,17.44,5.9,,,,--  ,5.9,5.58,5.36,39.35,289679968,5.79,玻璃,安徽,5.97,5.84,233367,262372,0.89,38288,0,--  ,81331496,6.72,0.08,22589920,2.84,         16.77亿,         23.13亿,12.1,996,498,0.0175,5,25,8.65,20.91,15.46,24.16,         12.10亿,--  ,0.81,10.07,10.07,4.1,9.02,0,0,5.73,1.06,20191223,20110412,3.92,--  ,--  ,18.81,14.6,0.23,21.19,7.06,5,0.66,3.84,3.26,1.45,9.08,6.05,4.73,0.47,0.13,0.51,0.44,0.44,0.2,0.7,0.46,-0.08,21354,9607,5.67万,205.09,6.43,1.58,50.7,3.82,0,0.112㈢,3.72,0,2.32,0.18,0.12,77.59,   3.02㈢,21.9,7.8,7.28,0.02,2203,2571,--  ,--  ,--  
600366,宁波韵升,10.05,6.02,0.55,6.02,--  ,408606,800,0,4.13,5.5,,,,76.29,6.02,5.5,5.47,95.32,237954896,1.68,电器仪表,浙江,9.51,5.82,213889,194717,1.1,62333,0,--  ,4292200,0.12,0.15,37524464,9.89,         59.54亿,         59.54亿,10.96,2363,173,0.0017,1,12.31,1.69,-9.06,-9.61,6.16,         39.93亿,60.57,1.32,0.55,10.05,0.55,6.46,9.45,0,9.45,3.59,20191022,20001030,9.89,--  ,--  ,57.24,42.57,0.7,24.4,34.21,11.53,1.25,13.76,7.88,5.49,1.47,13.47,11.05,0.59,0.34,0.59,0.44,0.47,0.24,29.22,0.95,-2.22,87619,7571,4.56万,-28.21,-12.35,1.4,62.49,4.42,1.8,0.047㈢,4.3,0,0.15,2.95,0.1,74.37,   1.10㈢,17.96,4.38,3.48,1.03,3418,600366,--  ,--  ,--  
002706,良信电器,10.05,11.83,1.08,11.83,--  ,203111,639,0,3.45,10.7,,,,33.06,11.83,10.56,10.75,34.01,231063744,2.14,电气设备,上海,11.81,11.38,70694,132417,0.53,18946,0,--  ,895600,0.02,0.09,22413118,5.88,         69.60亿,         92.87亿,12.07,3753,54,0.0009,2,10.04,13.96,38.69,40.84,4.1,         58.59亿,38.02,1.13,-0.47,10.05,-1.77,5.83,10.56,0,12.03,4.22,20200328,20140121,7.85,--  ,--  ,23.3,18.07,--  ,22.45,12.38,6.72,1.02,5.14,2.69,1.45,3.85,20.39,12.07,2.87,0.07,3.14,2.73,2.73,2.4,6.05,3.31,1.33,12508,39593,46.84万,23.03,29.53,5.14,28.03,4.56,2.28,0.348㈣,2.3,0,0.49,0.77,0.42,77.55,  15.12㈣,40.78,14.06,13.4,1.76,1973,2706,--  ,--  ,--  
002227,奥 特 迅,10.03,16.12,1.47,16.12,--  ,203243,891,0,9.23,15.23,,,,247.14,16.12,14.78,14.65,--  ,315828416,1.59,电气设备,深圳,9.15,15.54,102797,100446,1.02,7770,0,--  ,6856500,0.59,0.04,12525241,2.2,         35.51亿,         35.56亿,12.06,3395,60,0.0027,1,4.89,40.41,42.41,45.49,26.55,         12.34亿,310.69,0.93,3.96,10.03,0.89,6.07,5.84,0,9.07,3.96,20191029,20080506,2.21,--  ,--  ,12.37,8.01,0.02,35.1,5.46,2,0.3,2.08,2.31,2.12,3.16,2.07,1.4,-0.09,0,-0.1,-0.07,-0.07,-0.11,2,0.15,-0.22,26773,2859,4.61万,27.1,3.57,4.44,232.48,17.15,0.14,-0.033㈢,3.63,0,1.43,0.91,0.07,64.73,  -0.90㈢,32.55,-4.27,-3.47,0.22,614,2227,--  ,--  ,--  
603997,继峰股份,10.03,7.46,0.68,7.46,--  ,47816,132,0,0.76,7.46,,,,26.67,7.46,7.37,6.78,30.08,35664012,1.88,汽车配件,浙江,1.33,7.46,32655,15161,2.15,52449,0,--  ,8959500,0.78,1.1,39126956,6.32,         47.17亿,         76.36亿,10.93,642,74,0.0012,2,9.7,-11.2,-11.4,-7.67,3.12,         11.42亿,22.95,1.17,10.03,10.03,8.7,10.01,0,0,1.22,0.02,20191212,20150302,10.24,--  ,--  ,24.83,18.84,0.28,23.02,17.07,5.02,1.1,5.1,4.03,4.88,2.69,15.39,10.14,2.34,0,2.34,1.89,1.9,1.81,8.54,1.79,-0.87,18469,8286,6.18万,-18.12,-1.58,2.53,42.7,4.96,2.87,0.300㈢,2.95,2.95,0.26,0.83,0.17,75.87,  10.11㈢,34.07,15.24,12.37,0.5,3040,603997,--  ,--  ,--  
300106,西部牧业,10.03,7.46,0.68,7.46,--  ,295198,156,0,13.97,6.59,,,,--  ,7.46,6.55,6.78,952.63,213933488,1.81,农业综合,新疆,13.42,7.25,161753,133445,1.21,3832,0,--  ,4959000,0.61,0.01,2858672,2.11,         15.77亿,         15.77亿,12.06,2319,127,0.006,2,17.11,33.7,14.6,10.03,24.01,          9.17亿,72.7,0.77,-2.8,10.03,-3.39,6.89,13.2,0,13.89,3.14,20200323,20100820,2.11,--  ,--  ,11.23,6.38,0.66,37.3,5.03,4.15,0.7,3.76,1.35,1.4,6.21,5.25,4.5,0.01,0,0.05,0.04,0.01,-0.02,-2.16,1.06,-0.14,14700,8364,6.24万,-94.6,-1.59,2.71,14.89,3,0,0.006㈢,2.75,2.75,2.94,-1.02,0.5,56.78,   0.19㈢,14.26,0.25,0.24,0.02,658,300106,--  ,--  ,--  
600685,中船防务,10.02,13.61,1.24,13.61,--  ,240127,983,0,2.92,12.28,,,,--  ,13.61,11.97,12.37,35.09,318598560,7.25,船舶,广东,13.26,13.27,147252,92875,1.59,3719,0,--  ,316800,0.01,0.02,5061559,8.21,        111.80亿,        111.80亿,10.93,3665,66,0.0008,2,10.65,1.64,-7.35,-7.73,7.51,         43.51亿,--  ,0.96,-0.73,10.02,-3.23,7.26,10.83,0,13.7,2.77,20200328,19931028,14.14,--  ,5.92,523.04,101.48,53.99,70.27,332.35,114.4,20.73,294.11,43.45,23.5,94.19,218.29,209.59,-12.99,0.32,9.91,9.29,5.48,-10.17,-16.05,37.36,21.42,73736,4336,5.90万,129.34,13.61,1.9,5.15,0.88,0,0.388㈣,7.18,0,6.66,-1.14,2.64,19.4,   5.40㈣,3.98,-5.95,2.51,5.58,15832,600685,--  ,--  ,--  
